Protein	S0	S0	S0	S1	S1	S1	BayesFactor	FoldChange	RBstat	FDR	FLAG
B3KUH0	136450	244860	0	0	0	0	194.255	-5.515	33333333333333924336900580977760234554572301926400.000	0.00000	
B3KW39	0	0	0	0	0	0	1.000	0.025	0.018	1.00000	
E9PDP1	776940	734110	732040	339030	316890	433720	inf	-0.751	7674060075552372376552370869773211110071829790720.000	0.00000	
P04350	0	329830	582730	0	0	0	1.037	-5.094	33333333333333924336900580977760234554572301926400.000	0.00000	
P32119	0	0	0	0	0	0	1.000	0.025	0.024	1.00000	
Q15417	740000	525400	372480	0	414700	593000	inf	-5.472	66866875353411291309843216208094133048494411218944.000	0.00000	
P08238	2984300	2963600	3347600	1751800	947290	1812900	inf	-0.807	64080101952161083932262109946285525688792802918400.000	0.00000	
D3DPU2	3367400	3092300	3118900	2308800	2012100	2111800	inf	-0.400	296016422768755842923101578350553835358560190464.000	0.00000	*
Q53FR9	0	311260	0	0	0	0	3.955	-4.262	16666666666666962168450290488880117277286150963200.000	0.00000	
P61086	0	0	0	0	0	267100	143.720	4.617	16666666666666962168450290488880117277286150963200.000	0.00000	
P17812	0	0	0	0	0	0	1.000	0.025	0.007	1.00000	
P27348	546290	0	0	0	0	276340	0.000	-0.156	33333333333333924336900580977760234554572301926400.000	1.00000	
B5ME63	0	0	0	0	0	0	1.000	0.025	0.023	1.00000	
Q53G16	456880	0	0	0	0	0	0.751	-4.416	16666666666666962168450290488880117277286150963200.000	1.00000	
E9PCF5	2119600	1936300	1584900	1064600	1600300	1004800	44845393060064657535373686897538498965469371514064897198218129608018942961506180170124217311399748851103345070791577686080909002026832519364872805770410611375461368240595106090589791006688383571415566838788117328581703499776.000	-0.463	47106304921306613128542136503774618266558489690112.000	0.00000	
Q14103	1501200	1620700	1181400	896220	1018800	1131900	278808064718236711172807941733709439750892026287738564222297436733525100731610723566136600999636762908953879254577203380710333002490576896.000	-0.336	22286363138429616814024106318359614816613304369152.000	0.00000	*
D3DUS9	0	0	0	0	0	0	1.000	0.025	0.012	1.00000	
B4DVC9	0	0	0	0	0	0	1.000	0.025	0.031	1.00000	
B4DVM6	0	0	0	0	0	0	1.000	0.025	0.044	1.00000	
P25685	0	0	0	464230	0	0	3.096	4.289	16666666666666962168450290488880117277286150963200.000	0.00000	
Q15785	645960	667710	575750	0	0	0	inf	-6.643	3933511521838456503242034480583915940215514988544.000	0.00000	
B4DZF2	0	189750	0	0	0	0	279896198.998	-4.077	16666666666666962168450290488880117277286150963200.000	0.00000	
Q9Y371-2	0	0	0	0	0	0	1.000	0.025	0.032	1.00000	
Q7L2H7	0	0	0	0	0	0	1.000	0.025	0.051	1.00000	
P28066	0	0	73829	0	0	0	0.692	-3.922	16666666666666962168450290488880117277286150963200.000	1.00000	
B5BTY7	3784000	4302400	4025400	177000000	183000000	196000000	inf	3.819	41405284814847480876852084512619686365654209789952.000	0.00000	
B5BU32	0	0	0	0	0	0	1.000	0.025	0.052	1.00000	
B5BU38	2157000	1936500	1909000	336810	503400	0	inf	-5.448	50213068438393125481567690835358704529018007322624.000	0.00000	
Q8N6T3-2	0	0	0	0	0	0	1.000	0.025	0.021	1.00000	
E7EQR4	509680	517000	378700	0	0	0	inf	-7.147	10668043104494096400005547316358004746529716305920.000	0.00000	
B7Z6F8	465640	0	0	0	0	0	71526743.773	-4.173	16666666666666962168450290488880117277286150963200.000	0.00000	
B7Z7B4	0	0	0	0	0	0	1.000	0.025	0.049	1.00000	
Q9NVD7	0	0	0	0	0	0	1.000	0.025	0.030	1.00000	
E9PAN3	604580	734700	1237600	0	765150	675700	inf	-5.948	66476006077831586525608592515820250580454058491904.000	0.00000	
B7ZLS9	0	0	0	0	0	0	1.000	0.025	0.059	1.00000	
P22626	1302400	1059700	517610	819140	1239200	878680	17674105600887790.000	0.136	50000000062555435984735587689640246431887946416128.000	0.00000	*
C7DJS2	0	0	0	0	0	0	1.000	0.025	0.045	1.00000	
