P50991	1	316140	669700	402670	1.68E+08	1.66E+08	1.45E+08
P51148	1	5627300	5928800	7306500	3236100	3495900	2800200
P51149	1	3908200	3831500	3285700	1342800	1180700	1699900
P61026	1	2269400	4215200	0	1057400	1608700	1547000
P61088	1	3804700	3459800	3842900	1995500	1899000	1899400
P61106	1	0	0	0	0	0	0
P61204	1	2825200	2823200	2142900	3192000	2376500	2759600
P61289-2	1	5778000	5644700	5755500	3213100	2554200	2895200
Q5VXS0	1	0	0	0	0	0	0
P62258	1	0	0	0	0	53143	0
P68371	1	474770	452670	406290	141190	129140	0
Q01995	1	4170700	4082900	5722900	2580200	3003700	2162300
Q02413	1	556540	637900	367710	0	0	0
Q06323	1	8717600	8575200	8698300	5184000	5056100	5162200
Q07812-2	1	1511200	1430400	1200200	599580	514420	919090
Q09666	1	7172900	6489600	3932600	6692900	9040200	5851200
Q12789	1	0	0	0	0	0	0
Q12955	1	0	0	0	0	0	0
Q13748	1	0	0	0	0	0	145340
Q13885	1	0	0	0	0	0	0
Q14966-5	1	0	0	0	0	0	0
Q15365	1	2.66E+07	2.81E+07	2.64E+07	1.43E+07	1.51E+07	1.22E+07
Q2NKY5	1	0	0	0	0	0	107070
Q9UMY4	1	0	0	0	0	0	0
Q53GA7	1	0	0	0	0	0	0
Q53HV2	1	1184000	1245700	882070	1.84E+08	1.90E+08	1.76E+08
Q549M8	1	899290	855210	487660	0	269250	0
Q562R1	1	0	0	0	0	0	0
Q5RHS7	1	0	0	0	0	0	345740
Q5T6W5	1	1876700	2258400	1635000	919260	993860	1310800
Q5T749	1	1211900	1066500	1650200	1005300	1026200	746510
Q6FG99	1	1687000	1839600	1995000	1360700	1428000	1275600
Q6GPH4-6	1	0	0	0	0	0	0
Q8IVF2	1	0	0	0	0	0	0
Q8NBJ5	1	0	0	0	0	0	2134600
Q96C19	1	0	410710	443380	0	0	0
Q96FQ6	1	1530100	1607600	578290	801050	186710	188050
Q99471	1	0	0	0	0	273430	0
Q9BUF5	1	0	0	0	27021	0	0
Q9BZK4	1	0	0	0	0	0	0
Q9C000	1	0	0	0	0	0	0
Q9HB15	1	0	0	0	0	0	0
Q9Y3D6	1	0	0	0	207940	0	0
Q9Y490	1	5274700	5522000	5532900	1744300	2466500	2759000
